timestamp,token_in,amount_in,token_out,tx_receipt
1723883645.2542,ETH,18034091289041500024,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883655.314166,ETH,31884783916664018059,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883660.32178,ETH,10468389424441021060,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883700.644171,ETH,21135548534524153658,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883761.224177,ETH,26539543675997802595,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883872.157763,ETH,20510990539174458371,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883877.174379,ETH,14267664282337004743,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883953.162771,ETH,19042701074375711221,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883958.1748219,ETH,13786227258574775868,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883978.3272588,ETH,14521581677674453712,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723883983.335521,ETH,29469482986655451688,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884003.468549,ETH,23005528424462167406,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884023.6113129,ETH,13022791538501750240,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884043.7319539,ETH,29341306904294140866,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884053.7935948,ETH,14484696476398607627,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884063.8662488,ETH,20149112889083658463,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884068.879782,ETH,18486032190219343838,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884109.17447,ETH,22615054407893517613,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884119.24342,ETH,28003065303078067168,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884159.607924,ETH,25119590321423745108,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884164.6272871,ETH,13645663624321819118,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884174.7066822,ETH,20865299743016074677,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884285.833096,ETH,32746897417493073629,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884376.7522361,ETH,26202341142769471694,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884396.964767,ETH,32148446172361997623,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884462.57604,ETH,12948233702836602801,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884562.038547,ETH,28355852098879544441,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884572.096863,ETH,23343156164514770003,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723884582.2402718,ETH,26787789908562980541,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723885271.8239932,ETH,10001164501388436383,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723885276.833225,ETH,26751753966771895480,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723885352.4742668,ETH,23066412930584614100,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723885362.534592,ETH,18823070422843741897,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
