timestamp,token_in,amount_in,token_out,txhash
1723566609.498264,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,1558977,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xeca2d7fb184d083601111c15fb1d9c5c0c73a5fe1b23cb9c6aa5284740dad99e
1723566639.542807,0x6B175474E89094C44Da98b954EedeAC495271d0F,17263035003468063643273,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2941e4ba6eca26e4e17e5c517183392ca4169c96ba3cd06c044ac3889f5f712d
1723566699.621542,0x6B175474E89094C44Da98b954EedeAC495271d0F,13397468863777331073548,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xfc02b6be7b479b02f0fd12c038739da4d55ca32558933b049780d3bcf3b35dbc
1723566730.0794592,0xdAC17F958D2ee523a2206206994597C13D831ec7,91570000000,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x59f894b884b96f027cd1343599f3a32fbdc709abe6b5895472791153f3025870
1723566760.135704,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,340090541608558743633720609,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xb5fc6439a33c8f2d69a8a665110798f61ae338ec0bb611077792c50d08423eff
1723566820.2277591,0xdAC17F958D2ee523a2206206994597C13D831ec7,84511000000,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x4bcf827e51c5350bc13a203d5ed3b28b315e34335c6f84087bd6ca59245bc8b6
1723566850.588661,0x6B175474E89094C44Da98b954EedeAC495271d0F,2622418638745778791017,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xc1937bf534935d05ebd5afb4583470a7ec284a849b4e94b8fe7054cbec358a67
1723566940.6944299,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,306606,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x552159f97f07f89bbf9e31bc125a00e2348d2bdc8a6daae6c3184318fda2b824
1723566970.732049,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,43856893474249476955936572,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x1a23f99751bec3579b3f0b7bb80c904328ad2bb39541bbc598700b1de9c258d8
1723567030.793778,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,166555865786272580929486572,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0270c03215afc3b4d541083e9431322154eae2d3bf64e0ecc24733d604e7b6fc
