timestamp,token_in,amount_in,token_out,tx_receipt
1723819488.197078,ETH,721359948964031803,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819505.225385,ETH,2122960951385036590,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819510.535595,ETH,1843748314374239165,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819526.361672,ETH,2537034870814845766,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819528.43119,ETH,1447419938462817110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819532.2830641,ETH,1580499179373276964,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819540.721618,ETH,915407661130804281,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819543.8462012,ETH,1778564472686122529,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819546.951042,ETH,2138600422613663959,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819563.632927,ETH,2916955972846105968,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819565.704475,ETH,943454513142476261,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819569.893159,ETH,693276403030011841,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819578.369866,ETH,2696778284685593381,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819599.5230029,ETH,1493494877017227332,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819601.610846,ETH,2638930607528074864,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819604.775414,ETH,1843243252569633095,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
1723819606.860064,ETH,240530664814792390,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,{'status': 0}
