Timestamp,ETH,WETH,USDT,USDC,WBTC,SHIB,DAI
2024-08-16 20:51:00,100000000000000000000,20000000000000000000,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:52:00,100000000000000000000,105665769096195861266,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:53:00,100000000000000000000,105665769096195861266,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:54:00,100000000000000000000,105665769096195861266,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:55:00,100000000000000000000,105665769096195861266,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:56:00,100000000000000000000,105665769096195861266,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:57:00,100000000000000000000,108035895564838650157,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:58:00,100000000000000000000,108035895564838650157,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 20:59:00,100000000000000000000,108035895564838650157,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:00:01,100000000000000000000,108035895564838650157,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:01:01,100000000000000000000,108035895564838650157,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:02:01,100000000000000000000,108035895564838650157,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:03:01,100000000000000000000,109968571757089409894,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:04:01,100000000000000000000,109968571757089409894,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:05:01,100000000000000000000,109968571757089409894,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:06:01,100000000000000000000,109968571757089409894,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:07:01,100000000000000000000,109968571757089409894,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:08:01,100000000000000000000,109968571757089409894,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:09:01,100000000000000000000,110928293523080445227,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:10:01,100000000000000000000,110928293523080445227,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:11:01,100000000000000000000,110928293523080445227,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:12:01,100000000000000000000,110928293523080445227,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:13:01,100000000000000000000,110928293523080445227,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:14:01,100000000000000000000,110928293523080445227,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:15:01,100000000000000000000,118888379907574080255,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:16:01,100000000000000000000,118888379907574080255,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:17:01,100000000000000000000,118888379907574080255,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:18:01,100000000000000000000,118888379907574080255,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:19:02,100000000000000000000,118888379907574080255,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
2024-08-16 21:20:02,100000000000000000000,118888379907574080255,3103705788,3096454464,4820159,87564519354012785969481486,2867394895048508063956
